iter	Passed	Remaining
0	157	157278
1	159	79713
2	161	53736
3	163	40645
4	164	32785
5	166	27555
6	168	23886
7	170	21134
8	171	18932
9	173	17163
10	175	15742
11	176	14546
12	178	13542
13	179	12676
14	181	11913
15	183	11277
16	184	10682
17	186	10152
18	187	9679
19	189	9279
20	190	8903
21	192	8557
22	194	8248
23	195	7969
24	198	7731
25	199	7483
26	201	7252
27	202	7036
28	204	6841
29	206	6661
30	207	6485
31	208	6322
32	210	6167
33	212	6037
34	214	5912
35	216	5789
36	217	5664
37	219	5548
38	220	5442
39	222	5334
40	223	5238
41	225	5153
42	227	5063
43	229	4978
44	230	4894
45	232	4814
46	233	4734
47	234	4659
48	236	4595
49	238	4540
50	240	4476
51	242	4416
52	243	4356
53	245	4296
54	246	4240
55	248	4188
56	249	4132
57	251	4079
58	252	4028
59	254	3987
60	256	3943
61	257	3895
62	258	3850
63	260	3806
64	261	3764
65	263	3724
66	265	3690
67	266	3656
68	268	3622
69	270	3595
70	272	3559
71	273	3525
72	275	3501
73	277	3470
74	279	3442
75	280	3413
76	282	3387
77	286	3382
78	288	3360
79	290	3335
80	291	3310
81	293	3290
82	294	3255
83	296	3230
84	298	3208
85	300	3191
86	302	3174
87	304	3151
88	305	3128
89	306	3103
90	308	3081
91	309	3059
92	311	3038
93	313	3018
94	314	3000
95	316	2978
96	317	2956
97	319	2936
98	320	2918
99	322	2899
100	323	2879
101	324	2861
102	326	2845
103	328	2830
104	330	2814
105	331	2796
106	332	2777
107	334	2759
108	335	2742
109	337	2727
110	338	2711
111	339	2694
112	341	2678
113	342	2664
114	344	2653
115	346	2637
116	347	2620
117	348	2606
118	350	2592
119	351	2578
120	353	2566
121	354	2553
122	356	2544
123	359	2537
124	360	2526
125	362	2515
126	364	2503
127	366	2495
128	368	2485
129	370	2476
130	372	2468
131	375	2468
132	377	2458
133	378	2448
134	380	2438
135	382	2430
136	384	2422
137	386	2415
138	389	2413
139	391	2407
140	393	2399
141	395	2388
142	397	2380
143	399	2372
144	400	2364
145	403	2360
146	405	2352
147	407	2344
148	409	2340
149	412	2335
150	414	2328
151	416	2321
152	419	2320
153	421	2313
154	422	2306
155	425	2302
156	427	2297
157	429	2289
158	431	2284
159	434	2279
160	435	2269
161	437	2262
162	439	2256
163	441	2249
164	443	2243
165	445	2238
166	448	2236
167	450	2229
168	452	2222
169	454	2217
170	456	2211
171	458	2205
172	460	2200
173	463	2201
174	466	2197
175	468	2192
176	471	2190
177	473	2185
178	475	2182
179	478	2179
180	480	2176
181	483	2170
182	484	2165
183	486	2159
184	488	2153
185	491	2149
186	493	2145
187	495	2139
188	497	2134
189	499	2129
190	501	2123
191	503	2120
192	508	2126
193	511	2125
194	517	2137
195	520	2133
196	522	2130
197	525	2129
198	527	2123
199	529	2118
200	531	2113
201	533	2107
202	536	2106
203	539	2103
204	541	2099
205	544	2100
206	547	2096
207	549	2091
208	552	2089
209	555	2090
210	557	2085
211	559	2081
212	562	2077
213	564	2073
214	567	2071
215	570	2071
216	573	2068
217	575	2064
218	577	2059
219	579	2054
220	581	2050
221	585	2051
222	587	2048
223	590	2046
224	593	2042
225	595	2039
226	600	2045
227	604	2046
228	611	2060
229	619	2072
230	627	2088
231	632	2093
232	635	2092
233	640	2096
234	648	2110
235	651	2108
236	654	2106
237	658	2107
238	665	2120
239	670	2122
240	674	2123
241	678	2124
242	681	2122
243	684	2122
244	688	2121
245	691	2119
246	697	2127
247	704	2136
248	708	2135
249	711	2133
250	716	2138
251	722	2143
252	725	2143
253	729	2141
254	734	2145
255	738	2145
256	741	2143
257	744	2141
258	753	2155
259	756	2153
260	759	2151
261	763	2150
262	766	2148
263	771	2149
264	774	2148
265	778	2147
266	782	2148
267	785	2145
268	790	2148
269	796	2154
270	800	2154
271	803	2151
272	814	2167
273	818	2169
274	827	2181
275	831	2180
276	835	2179
277	838	2177
278	841	2174
279	844	2171
280	846	2166
281	849	2161
282	851	2158
283	855	2155
284	857	2151
285	861	2149
286	864	2146
287	866	2142
288	869	2140
289	873	2138
290	875	2134
291	879	2132
292	882	2128
293	884	2124
294	887	2121
295	890	2116
296	892	2112
297	895	2109
298	899	2109
299	903	2107
300	906	2104
301	909	2102
302	912	2098
303	917	2099
304	919	2095
305	922	2091
306	925	2088
307	927	2084
308	930	2081
309	934	2079
310	939	2080
311	942	2078
312	946	2077
313	949	2075
314	953	2074
315	956	2070
316	959	2066
317	962	2063
318	965	2060
319	968	2057
320	970	2053
321	973	2049
322	976	2047
323	979	2044
324	983	2041
325	986	2038
326	989	2036
327	993	2035
328	996	2032
329	998	2027
330	1001	2024
331	1007	2026
332	1011	2026
333	1015	2025
334	1019	2024
335	1026	2027
336	1029	2025
337	1033	2025
338	1037	2022
339	1040	2019
340	1044	2018
341	1047	2015
342	1051	2015
343	1055	2012
344	1059	2010
345	1063	2010
346	1067	2008
347	1070	2005
348	1073	2003
349	1078	2003
350	1082	2002
351	1086	2000
352	1089	1997
353	1092	1993
354	1097	1993
355	1100	1990
356	1105	1991
357	1110	1992
358	1114	1989
359	1117	1987
360	1121	1984
361	1124	1981
362	1128	1980
363	1132	1977
364	1135	1975
365	1138	1972
366	1141	1968
367	1144	1965
368	1147	1962
369	1152	1961
370	1155	1958
371	1158	1955
372	1162	1953
373	1164	1949
374	1167	1946
375	1170	1943
376	1174	1940
377	1177	1937
378	1180	1933
379	1182	1929
380	1185	1926
381	1189	1923
382	1192	1921
383	1196	1919
384	1199	1916
385	1202	1913
386	1206	1910
387	1209	1907
388	1212	1904
389	1215	1900
390	1218	1897
391	1221	1894
392	1224	1891
393	1227	1888
394	1231	1886
395	1235	1883
396	1238	1881
397	1241	1877
398	1244	1875
399	1248	1872
400	1251	1869
401	1255	1866
402	1260	1866
403	1263	1864
404	1267	1862
405	1270	1859
406	1276	1860
407	1280	1857
408	1283	1855
409	1287	1852
410	1291	1850
411	1294	1848
412	1298	1845
413	1301	1842
414	1304	1839
415	1307	1835
416	1310	1832
417	1313	1829
418	1317	1827
419	1320	1824
420	1323	1820
421	1327	1817
422	1330	1814
423	1333	1811
424	1337	1808
425	1339	1805
426	1342	1801
427	1346	1799
428	1349	1796
429	1353	1794
430	1356	1791
431	1359	1787
432	1364	1786
433	1367	1784
434	1370	1780
435	1373	1776
436	1377	1774
437	1380	1771
438	1383	1768
439	1386	1764
440	1390	1762
441	1394	1761
442	1399	1760
443	1403	1756
444	1410	1758
445	1413	1755
446	1417	1753
447	1420	1750
448	1424	1748
449	1428	1745
450	1431	1742
451	1434	1738
452	1440	1739
453	1444	1736
454	1447	1733
455	1450	1730
456	1455	1729
457	1458	1726
458	1462	1723
459	1465	1720
460	1469	1718
461	1473	1715
462	1476	1712
463	1480	1710
464	1486	1710
465	1490	1708
466	1494	1705
467	1499	1704
468	1502	1701
469	1505	1698
470	1509	1695
471	1513	1693
472	1517	1690
473	1520	1687
474	1524	1685
475	1528	1682
476	1531	1679
477	1536	1677
478	1539	1674
479	1543	1672
480	1547	1669
481	1551	1667
482	1556	1665
483	1563	1667
484	1567	1664
485	1572	1663
486	1581	1665
487	1585	1662
488	1589	1660
489	1592	1657
490	1596	1654
491	1601	1653
492	1605	1650
493	1610	1649
494	1613	1646
495	1618	1644
496	1621	1640
497	1624	1637
498	1627	1634
499	1630	1630
500	1636	1630
501	1639	1626
502	1643	1623
503	1647	1621
504	1652	1619
505	1655	1616
506	1659	1613
507	1662	1610
508	1666	1607
509	1669	1604
510	1672	1600
511	1677	1599
512	1681	1596
513	1685	1593
514	1688	1590
515	1693	1588
516	1696	1585
517	1699	1581
518	1703	1578
519	1708	1576
520	1711	1573
521	1715	1570
522	1718	1567
523	1721	1564
524	1727	1562
525	1732	1560
526	1735	1557
527	1740	1556
528	1744	1553
529	1751	1552
530	1756	1551
531	1760	1548
532	1770	1551
533	1775	1549
534	1780	1547
535	1788	1548
536	1798	1550
537	1802	1547
538	1806	1545
539	1809	1541
540	1817	1541
541	1820	1538
542	1823	1534
543	1828	1532
544	1835	1532
545	1839	1529
546	1843	1526
547	1847	1523
548	1852	1521
549	1855	1518
550	1859	1515
551	1862	1511
552	1867	1509
553	1870	1506
554	1874	1503
555	1877	1499
556	1880	1495
557	1884	1492
558	1889	1490
559	1894	1488
560	1898	1485
561	1905	1485
562	1909	1481
563	1913	1479
564	1918	1477
565	1923	1475
566	1927	1472
567	1933	1470
568	1942	1471
569	1946	1468
570	1950	1465
571	1954	1462
572	1959	1460
573	1966	1459
574	1975	1459
575	1982	1459
576	1985	1455
577	1989	1452
578	1998	1453
579	2001	1449
580	2005	1446
581	2012	1445
582	2015	1441
583	2018	1437
584	2022	1434
585	2026	1431
586	2031	1429
587	2034	1425
588	2038	1422
589	2041	1418
590	2045	1415
591	2049	1412
592	2053	1409
593	2057	1406
594	2060	1402
595	2063	1398
596	2067	1395
597	2071	1392
598	2074	1388
599	2077	1385
600	2083	1382
601	2086	1379
602	2089	1375
603	2092	1372
604	2096	1369
605	2100	1365
606	2104	1362
607	2108	1359
608	2112	1356
609	2116	1353
610	2121	1350
611	2128	1349
612	2132	1346
613	2138	1344
614	2143	1341
615	2148	1339
616	2151	1335
617	2158	1334
618	2161	1330
619	2165	1327
620	2168	1323
621	2174	1321
622	2178	1318
623	2181	1314
624	2184	1310
625	2187	1306
626	2191	1303
627	2194	1299
628	2197	1296
629	2202	1293
630	2205	1289
631	2209	1286
632	2212	1282
633	2215	1279
634	2218	1275
635	2221	1271
636	2225	1268
637	2228	1264
638	2231	1260
639	2235	1257
640	2238	1253
641	2242	1250
642	2246	1247
643	2250	1243
644	2253	1240
645	2256	1236
646	2259	1232
647	2266	1230
648	2270	1227
649	2273	1224
650	2277	1220
651	2283	1218
652	2287	1215
653	2293	1213
654	2300	1211
655	2303	1208
656	2307	1204
657	2311	1201
658	2314	1197
659	2320	1195
660	2323	1191
661	2327	1188
662	2330	1184
663	2334	1181
664	2339	1178
665	2342	1174
666	2345	1170
667	2348	1167
668	2352	1163
669	2356	1160
670	2360	1157
671	2363	1153
672	2367	1150
673	2371	1147
674	2374	1143
675	2377	1139
676	2380	1135
677	2383	1132
678	2386	1128
679	2389	1124
680	2391	1120
681	2394	1116
682	2397	1112
683	2400	1109
684	2403	1105
685	2406	1101
686	2410	1098
687	2413	1094
688	2417	1091
689	2420	1087
690	2422	1083
691	2426	1079
692	2429	1076
693	2433	1072
694	2436	1069
695	2439	1065
696	2443	1062
697	2447	1058
698	2452	1056
699	2456	1052
700	2459	1049
701	2463	1045
702	2466	1042
703	2471	1039
704	2475	1035
705	2478	1032
706	2481	1028
707	2487	1025
708	2490	1022
709	2493	1018
710	2496	1014
711	2499	1011
712	2504	1008
713	2509	1005
714	2513	1001
715	2521	1000
716	2525	996
717	2528	993
718	2535	991
719	2539	987
720	2542	983
721	2545	979
722	2548	976
723	2552	972
724	2555	969
725	2558	965
726	2562	962
727	2566	958
728	2569	955
729	2572	951
730	2575	947
731	2578	944
732	2582	940
733	2584	936
734	2587	932
735	2590	929
736	2594	925
737	2597	922
738	2600	918
739	2603	914
740	2607	911
741	2610	907
742	2614	904
743	2617	900
744	2623	897
745	2627	894
746	2630	890
747	2633	887
748	2639	884
749	2642	880
750	2645	877
751	2648	873
752	2651	869
753	2655	866
754	2658	862
755	2661	859
756	2664	855
757	2668	852
758	2671	848
759	2674	844
760	2678	841
761	2681	837
762	2684	833
763	2687	830
764	2691	826
765	2694	823
766	2698	819
767	2703	816
768	2706	812
769	2709	809
770	2713	805
771	2716	802
772	2719	798
773	2721	794
774	2724	790
775	2727	787
776	2730	783
777	2732	779
778	2735	776
779	2737	772
780	2740	768
781	2743	764
782	2746	761
783	2749	757
784	2752	753
785	2755	750
786	2758	746
787	2761	742
788	2764	739
789	2767	735
790	2771	732
791	2774	728
792	2778	725
793	2781	721
794	2785	718
795	2788	714
796	2790	710
797	2793	707
798	2796	703
799	2799	699
800	2802	696
801	2805	692
802	2807	688
803	2810	685
804	2813	681
805	2815	677
806	2818	674
807	2821	670
808	2823	666
809	2827	663
810	2832	660
811	2835	656
812	2837	652
813	2841	649
814	2843	645
815	2847	642
816	2849	638
817	2852	634
818	2856	631
819	2859	627
820	2862	624
821	2865	620
822	2868	616
823	2871	613
824	2874	609
825	2878	606
826	2881	602
827	2885	599
828	2887	595
829	2890	592
830	2895	588
831	2898	585
832	2901	581
833	2904	578
834	2908	574
835	2911	571
836	2915	567
837	2918	564
838	2922	560
839	2925	557
840	2928	553
841	2931	550
842	2934	546
843	2937	542
844	2940	539
845	2943	535
846	2946	532
847	2949	528
848	2953	525
849	2957	521
850	2960	518
851	2963	514
852	2969	511
853	2972	508
854	2975	504
855	2979	501
856	2985	498
857	2988	494
858	2991	490
859	2994	487
860	3011	486
861	3017	483
862	3020	479
863	3024	476
864	3027	472
865	3032	469
866	3035	465
867	3037	461
868	3040	458
869	3043	454
870	3047	451
871	3049	447
872	3052	444
873	3055	440
874	3060	437
875	3063	433
876	3067	430
877	3069	426
878	3073	423
879	3078	419
880	3081	416
881	3083	412
882	3086	408
883	3089	405
884	3092	401
885	3095	398
886	3098	394
887	3102	391
888	3106	387
889	3108	384
890	3112	380
891	3114	377
892	3117	373
893	3123	370
894	3126	366
895	3128	363
896	3132	359
897	3134	356
898	3138	352
899	3140	348
900	3143	345
901	3146	341
902	3150	338
903	3153	334
904	3155	331
905	3158	327
906	3161	324
907	3166	320
908	3168	317
909	3171	313
910	3173	310
911	3176	306
912	3179	302
913	3182	299
914	3185	295
915	3188	292
916	3191	288
917	3195	285
918	3199	281
919	3203	278
920	3206	275
921	3210	271
922	3212	268
923	3215	264
924	3218	260
925	3221	257
926	3225	253
927	3228	250
928	3231	246
929	3234	243
930	3237	239
931	3241	236
932	3245	233
933	3247	229
934	3250	225
935	3254	222
936	3257	219
937	3260	215
938	3264	212
939	3266	208
940	3269	205
941	3272	201
942	3275	197
943	3277	194
944	3280	190
945	3283	187
946	3286	183
947	3289	180
948	3292	176
949	3295	173
950	3299	169
951	3302	166
952	3304	162
953	3307	159
954	3310	155
955	3313	152
956	3316	149
957	3319	145
958	3321	142
959	3324	138
960	3327	135
961	3330	131
962	3334	128
963	3338	124
964	3341	121
965	3346	117
966	3349	114
967	3352	110
968	3354	107
969	3357	103
970	3361	100
971	3364	96
972	3366	93
973	3369	89
974	3372	86
975	3375	83
976	3378	79
977	3381	76
978	3384	72
979	3387	69
980	3391	65
981	3394	62
982	3399	58
983	3405	55
984	3408	51
985	3410	48
986	3413	44
987	3417	41
988	3420	38
989	3423	34
990	3426	31
991	3429	27
992	3435	24
993	3437	20
994	3440	17
995	3443	13
996	3446	10
997	3450	6
998	3453	3
999	3456	0
